1502799561 60 0
1502799699 222 0
1502800211 223 0
1502800390 229 0
1502800454 229 554
1502800747 239 554
1502801798 265 554
1502804350 404 554
1502804384 406 554
1502804445 407 554
1502805283 419 554
1502805807 458 554
1502806017 467 554
1502806465 468 554
1502807844 520 554
1502808385 526 554
1502809031 527 554
1502817129 594 554
1502818702 616 554
1502820515 684 554
1502821659 758 554
1502823951 806 554
1502878582 827 554
1502879345 833 554
1502886921 949 554
1502891183 950 554
1502892165 950 554
1502892268 950 554
